storm_id,name,landfall_dt,wind_kt,lat,lon
AL031903,UNNAMED,1903-09-11 23:01:26.422789+00:00,75,26.102400633026498,-80.10480126605299
AL031903,UNNAMED,1903-09-13 22:14:34.754156+00:00,80,30.009158471878752,-85.55457923593937
AL041904,UNNAMED,1904-10-17 07:51:47.938827+00:00,70,25.28633163407387,-80.28633163407387
AL021906,UNNAMED,1906-06-17 02:51:15.518036+00:00,70,24.690287371033584,-81.1097126289664
AL021906,UNNAMED,1906-06-17 07:32:13.517364+00:00,75,25.153708815658476,-80.74629118434153
AL081906,UNNAMED,1906-10-18 09:56:36.938079+00:00,105,24.688718782150495,-81.10705076115593
AL051910,UNNAMED,1910-10-18 05:54:24.025638+00:00,95,26.484445631394106,-82.00311087372118
AL011915,UNNAMED,1915-08-01 15:12:10.762253+00:00,65,28.560149475738015,-80.5669157928967
AL041915,UNNAMED,1915-09-04 09:40:40.951395+00:00,80,29.6562909340817,-85.34712168216642
AL141916,UNNAMED,1916-10-18 13:44:49.051868+00:00,95,30.298783540879477,-87.41265205739008
AL041917,UNNAMED,1917-09-29 01:56:28.150663+00:00,100,30.3941152961891,-86.60882705571635
AL061921,UNNAMED,1921-10-25 20:06:41.955250+00:00,99,28.11116542360268,-82.78325186459598
AL051924,UNNAMED,1924-09-15 13:23:42.272743+00:00,75,29.669753788103023,-85.36049242379394
AL101924,UNNAMED,1924-10-21 03:32:20.849940+00:00,75,25.85078249966754,-81.39374000265965
AL011926,UNNAMED,1926-07-28 10:47:50.036968+00:00,84,29.079723249119603,-80.9195848736794
AL071926,UNNAMED,1926-09-18 12:01:03.754361+00:00,125,25.601770954478475,-80.30383706803669
AL011928,UNNAMED,1928-08-08 07:29:03.931120+00:00,84,27.329065518666212,-80.22906551866622
AL041928,UNNAMED,1928-09-17 00:10:45.290182+00:00,124,26.71493727272727,-80.032862
AL021929,UNNAMED,1929-10-01 03:13:57.477087+00:00,70,30.142447439307507,-85.75755256069249
